03-28 13:23:55.558 20704 20704 I flutter : [PERF] 13:23:55 | FPS:12 | MLKit:63ms | TFLite:60ms | Total:124ms
03-28 13:23:56.585 20704 20704 I flutter : [PERF] 13:23:56 | FPS:14 | MLKit:61ms | TFLite:57ms | Total:118ms
03-28 13:23:57.664 20704 20704 I flutter : [PERF] 13:23:57 | FPS:11 | MLKit:66ms | TFLite:62ms | Total:128ms
03-28 13:23:58.707 20704 20704 I flutter : [PERF] 13:23:58 | FPS:10 | MLKit:66ms | TFLite:64ms | Total:131ms
03-28 13:23:59.807 20704 20704 I flutter : [PERF] 13:23:59 | FPS:11 | MLKit:67ms | TFLite:64ms | Total:131ms
03-28 13:24:00.858 20704 20704 I flutter : [PERF] 13:24:00 | FPS:13 | MLKit:57ms | TFLite:57ms | Total:114ms
03-28 13:24:01.881 20704 20704 I flutter : [PERF] 13:24:01 | FPS:12 | MLKit:56ms | TFLite:54ms | Total:111ms
03-28 13:24:02.944 20704 20704 I flutter : [PERF] 13:24:02 | FPS:14 | MLKit:57ms | TFLite:56ms | Total:114ms
03-28 13:24:04.012 20704 20704 I flutter : [PERF] 13:24:04 | FPS:13 | MLKit:65ms | TFLite:61ms | Total:127ms
03-28 13:24:05.071 20704 20704 I flutter : [PERF] 13:24:05 | FPS:14 | MLKit:66ms | TFLite:62ms | Total:129ms
03-28 13:24:06.129 20704 20704 I flutter : [PERF] 13:24:06 | FPS:11 | MLKit:60ms | TFLite:56ms | Total:117ms
03-28 13:24:07.176 20704 20704 I flutter : [PERF] 13:24:07 | FPS:13 | MLKit:62ms | TFLite:58ms | Total:121ms
03-28 13:24:08.213 20704 20704 I flutter : [PERF] 13:24:08 | FPS:12 | MLKit:66ms | TFLite:60ms | Total:126ms
