03-28 13:01:09.550 19147 19147 I flutter : [PERF] 13:01:09 | FPS:6 | MLKit:145ms | TFLite:171ms | Total:316ms
03-28 13:01:10.614 19147 19147 I flutter : [PERF] 13:01:10 | FPS:5 | MLKit:147ms | TFLite:172ms | Total:320ms
03-28 13:01:11.740 19147 19147 I flutter : [PERF] 13:01:11 | FPS:6 | MLKit:153ms | TFLite:172ms | Total:325ms
03-28 13:01:12.831 19147 19147 I flutter : [PERF] 13:01:12 | FPS:6 | MLKit:161ms | TFLite:174ms | Total:335ms
03-28 13:01:13.882 19147 19147 I flutter : [PERF] 13:01:13 | FPS:5 | MLKit:153ms | TFLite:174ms | Total:327ms
03-28 13:01:15.053 19147 19147 I flutter : [PERF] 13:01:15 | FPS:6 | MLKit:155ms | TFLite:174ms | Total:329ms
03-28 13:01:16.166 19147 19147 I flutter : [PERF] 13:01:16 | FPS:5 | MLKit:167ms | TFLite:181ms | Total:348ms
03-28 13:01:17.327 19147 19147 I flutter : [PERF] 13:01:17 | FPS:6 | MLKit:165ms | TFLite:179ms | Total:344ms
03-28 13:01:18.492 19147 19147 I flutter : [PERF] 13:01:18 | FPS:6 | MLKit:164ms | TFLite:179ms | Total:344ms
03-28 13:01:19.504 19147 19147 I flutter : [PERF] 13:01:19 | FPS:5 | MLKit:179ms | TFLite:183ms | Total:362ms
03-28 13:01:20.656 19147 19147 I flutter : [PERF] 13:01:20 | FPS:6 | MLKit:171ms | TFLite:180ms | Total:352ms
03-28 13:01:21.700 19147 19147 I flutter : [PERF] 13:01:21 | FPS:5 | MLKit:153ms | TFLite:176ms | Total:329ms
