03-28 18:49:15.892 25089 25089 I flutter : [PERF] 18:49:15 | FPS:14 | MLKit:56ms | TFLite:54ms | Total:110ms
03-28 18:49:16.893 25089 25089 I flutter : [PERF] 18:49:16 | FPS:13 | MLKit:48ms | TFLite:51ms | Total:99ms
03-28 18:49:17.917 25089 25089 I flutter : [PERF] 18:49:17 | FPS:14 | MLKit:40ms | TFLite:43ms | Total:84ms
03-28 18:49:18.930 25089 25089 I flutter : [PERF] 18:49:18 | FPS:11 | MLKit:41ms | TFLite:42ms | Total:83ms
03-28 18:49:19.934 25089 25089 I flutter : [PERF] 18:49:19 | FPS:13 | MLKit:40ms | TFLite:43ms | Total:84ms
03-28 18:49:20.990 25089 25089 I flutter : [PERF] 18:49:20 | FPS:12 | MLKit:46ms | TFLite:47ms | Total:94ms
03-28 18:49:21.995 25089 25089 I flutter : [PERF] 18:49:21 | FPS:14 | MLKit:49ms | TFLite:48ms | Total:98ms
03-28 18:49:23.052 25089 25089 I flutter : [PERF] 18:49:23 | FPS:16 | MLKit:40ms | TFLite:38ms | Total:78ms
03-28 18:49:24.114 25089 25089 I flutter : [PERF] 18:49:24 | FPS:14 | MLKit:42ms | TFLite:42ms | Total:84ms
03-28 18:49:25.248 25089 25089 I flutter : [PERF] 18:49:25 | FPS:12 | MLKit:48ms | TFLite:50ms | Total:99ms
03-28 18:49:26.295 25089 25089 I flutter : [PERF] 18:49:26 | FPS:15 | MLKit:53ms | TFLite:51ms | Total:105ms
03-28 18:49:27.302 25089 25089 I flutter : [PERF] 18:49:27 | FPS:15 | MLKit:49ms | TFLite:45ms | Total:95ms
03-28 18:49:28.328 25089 25089 I flutter : [PERF] 18:49:28 | FPS:13 | MLKit:44ms | TFLite:46ms | Total:91ms
03-28 18:49:29.343 25089 25089 I flutter : [PERF] 18:49:29 | FPS:13 | MLKit:48ms | TFLite:48ms | Total:96ms
03-28 18:49:30.391 25089 25089 I flutter : [PERF] 18:49:30 | FPS:13 | MLKit:47ms | TFLite:48ms | Total:95ms
03-28 18:49:31.454 25089 25089 I flutter : [PERF] 18:49:31 | FPS:16 | MLKit:45ms | TFLite:47ms | Total:93ms
03-28 18:49:32.518 25089 25089 I flutter : [PERF] 18:49:32 | FPS:15 | MLKit:48ms | TFLite:48ms | Total:96ms
03-28 18:49:33.535 25089 25089 I flutter : [PERF] 18:49:33 | FPS:13 | MLKit:44ms | TFLite:45ms | Total:90ms
03-28 18:49:34.538 25089 25089 I flutter : [PERF] 18:49:34 | FPS:15 | MLKit:40ms | TFLite:41ms | Total:81ms
03-28 18:49:35.599 25089 25089 I flutter : [PERF] 18:49:35 | FPS:14 | MLKit:41ms | TFLite:41ms | Total:83ms
03-28 18:49:36.683 25089 25089 I flutter : [PERF] 18:49:36 | FPS:15 | MLKit:42ms | TFLite:43ms | Total:86ms
03-28 18:49:37.766 25089 25089 I flutter : [PERF] 18:49:37 | FPS:15 | MLKit:42ms | TFLite:42ms | Total:85ms
