03-28 20:35:26.330  3085  3085 I flutter : [PERF] 20:35:26 | FPS:5 | MLKit:180ms | TFLite:218ms | Total:399ms
03-28 20:35:27.495  3085  3085 I flutter : [PERF] 20:35:27 | FPS:5 | MLKit:178ms | TFLite:217ms | Total:396ms
03-28 20:35:28.618  3085  3085 I flutter : [PERF] 20:35:28 | FPS:5 | MLKit:179ms | TFLite:216ms | Total:395ms
03-28 20:35:29.865  3085  3085 I flutter : [PERF] 20:35:29 | FPS:5 | MLKit:177ms | TFLite:216ms | Total:393ms
03-28 20:35:30.963  3085  3085 I flutter : [PERF] 20:35:30 | FPS:4 | MLKit:184ms | TFLite:219ms | Total:403ms
03-28 20:35:32.143  3085  3085 I flutter : [PERF] 20:35:32 | FPS:5 | MLKit:188ms | TFLite:220ms | Total:409ms
03-28 20:35:33.265  3085  3085 I flutter : [PERF] 20:35:33 | FPS:4 | MLKit:190ms | TFLite:223ms | Total:413ms
03-28 20:35:34.271  3085  3085 I flutter : [PERF] 20:35:34 | FPS:4 | MLKit:191ms | TFLite:225ms | Total:416ms
03-28 20:35:35.430  3085  3085 I flutter : [PERF] 20:35:35 | FPS:5 | MLKit:191ms | TFLite:225ms | Total:417ms
03-28 20:35:36.742  3085  3085 I flutter : [PERF] 20:35:36 | FPS:5 | MLKit:202ms | TFLite:230ms | Total:433ms
03-28 20:35:37.815  3085  3085 I flutter : [PERF] 20:35:37 | FPS:4 | MLKit:204ms | TFLite:229ms | Total:433ms
03-28 20:35:38.845  3085  3085 I flutter : [PERF] 20:35:38 | FPS:5 | MLKit:204ms | TFLite:223ms | Total:428ms
03-28 20:35:39.971  3085  3085 I flutter : [PERF] 20:35:39 | FPS:4 | MLKit:198ms | TFLite:227ms | Total:426ms
03-28 20:35:41.040  3085  3085 I flutter : [PERF] 20:35:41 | FPS:5 | MLKit:204ms | TFLite:220ms | Total:425ms
